dim,n_forms,mean_rho,rho_std,top1_eigenvalue,rank_d_concentration,spectral_entropy
33,167,0.347811203973685,0.15023230982099492,4.31040150692302,1.0,1.876692971184902
34,144,0.32456473665487945,0.16414352317835784,4.131245169444934,1.0,1.890804289440764
35,131,0.3207162780322517,0.12914214324259463,4.029741873937122,1.0,1.9441992421610732
36,133,0.3170052530090353,0.1490951095543352,3.979761762331308,1.0,1.912649293984835
37,128,0.36514691701364976,0.16868537285728716,4.531051023051887,1.0,1.8311942236454275
38,118,0.3359053828276001,0.20306511888104828,4.426298418482956,1.0,1.8450541401545222
39,101,0.3539897925967565,0.20008099779721963,4.557411858895876,1.0,1.8142209712860866
40,106,0.3215435904032463,0.19162271574523515,4.222604547399831,1.0,1.8650511514259958
41,101,0.34980977599522706,0.18628596591465585,4.420481056181913,1.0,1.8159759646881302
42,101,0.31285682333729903,0.13886920926188873,3.9525044636423656,1.0,1.9348486236437177
43,112,0.35177245557232095,0.14881631321966188,4.336068248257494,1.0,1.8654180873987127
44,102,0.3960030088007714,0.14727235182067194,4.708318698257141,1.0,1.7829690257257738
45,92,0.3387841648586932,0.16550655891691732,4.264153489647619,1.0,1.8658420497347161
46,75,0.3772299821354701,0.14134974556730276,4.517053677518916,1.0,1.816827823917719
47,61,0.39145216789368875,0.1751299604760667,4.712221111171234,1.0,1.7526390020398164
48,83,0.3918908820227936,0.13583061712144975,4.625883978271684,1.0,1.7982285500623787
49,58,0.2997046392106414,0.18537039238296835,4.037984708171666,1.0,1.9123003453126621
50,74,0.31086862137473137,0.20483021876091834,4.180191640097052,1.0,1.8644194883726972
51,72,0.40887601986138944,0.1891363097933445,4.9626559681737294,1.0,1.723153916247115
52,67,0.42927301107439714,0.12599251530627273,4.9474234098752685,1.0,1.7398738839824308
53,65,0.3637140582271582,0.18437236973571627,4.502802127231131,1.0,1.7942097221113598
54,63,0.3791389362864775,0.1550049274970857,4.561913523829789,1.0,1.8015192011606342
55,63,0.42234948782629095,0.16358008877097943,4.9873509761732695,1.0,1.7243427257736537
56,65,0.3521203423717125,0.15272421910299241,4.356473854558521,1.0,1.8622204513636111
57,60,0.3991849474987971,0.13574280917746348,4.650879723773974,1.0,1.7749828117761104
58,53,0.3763774191137884,0.15379907535611267,4.54207393232837,1.0,1.8046948495547432
60,65,0.40826067075081024,0.16104596945322988,4.8517781590228415,1.0,1.7500469457752033
61,50,0.3917692544771802,0.14225474550727318,4.6465103993558845,1.0,1.7923353727617726
62,55,0.3985663482891598,0.19312888058258848,4.845781261042728,1.0,1.7212198219936683
63,52,0.3679730068975482,0.17460110558338807,4.5583389702381165,1.0,1.8081721281031786
65,59,0.4569234100504315,0.14923238193875496,5.252711219593848,1.0,1.6625690506005883
