dim,n_forms,mean_rho,rho_std,top1_eigenvalue,rank_d_concentration,spectral_entropy,stratification
62,50,0.4524349239032089,0.18528096716754985,12.23359041246426,1.0,1.9863264409835966,level_level_2000+
65,51,0.4493474206662251,0.1589645577304291,11.982698521053582,1.0,2.0428696774313884,level_level_2000+
1,17198,0.001241486475901672,0.025471032075333043,1.414008855828429,0.056560354233137156,3.211422512002377,conductor_cond_1-100
2,8026,0.01244684441857893,0.03814482396810299,1.4411756194937657,0.11366109486931514,3.199786062477145,conductor_cond_1-100
3,4305,0.011586322636822178,0.043776242578165765,1.5078826795880345,0.17181250736510567,3.194425239183211,conductor_cond_1-100
4,3133,0.014785596501860123,0.04163255950802152,1.5259647475300853,0.21838482535365758,3.1957179417347343,conductor_cond_1-100
5,2093,0.01839943601236672,0.04982204655914708,1.6543697934405677,0.28119001037025665,3.1858352573069273,conductor_cond_1-100
6,1812,0.013971981767561559,0.049992094108549844,1.555476050850212,0.3258481427886645,3.1867660841132355,conductor_cond_1-100
7,1201,0.014905505178363594,0.050827576617485264,1.5768913867546914,0.37414302064239713,3.185473789585228,conductor_cond_1-100
8,1291,0.016001808146975396,0.053683156258608596,1.6872504312354177,0.42430198901169164,3.1820387821078255,conductor_cond_1-100
9,923,0.01533189814882703,0.05526827690104917,1.6377543920420732,0.47215699809570133,3.1800792479897413,conductor_cond_1-100
10,892,0.01205336134176983,0.062162321389552674,1.6762974057994038,0.5241094703806585,3.171255634117067,conductor_cond_1-100
11,683,0.022243189347613004,0.06316493491088458,1.6712940976193713,0.5756025649219777,3.1666397795308567,conductor_cond_1-100
12,732,0.010653306068276736,0.06252552820794763,1.7029484307036349,0.6062740680974702,3.171251378805658,conductor_cond_1-100
13,575,0.008289898524321009,0.0746499253768062,1.8869566067214862,0.6650593613737384,3.1540889604644518,conductor_cond_1-100
14,597,0.012678035443835804,0.0606814320870668,1.6801247726396566,0.6835357866330376,3.1733677225321504,conductor_cond_1-100
15,512,0.0047937503324245205,0.06625996420948851,1.711707081313218,0.7235567669255808,3.1665703518014716,conductor_cond_1-100
16,529,0.00899261668985655,0.06255177924067325,1.687730435532841,0.7532265968652809,3.1712965620378597,conductor_cond_1-100
17,421,0.009014214713576963,0.07650452125998805,1.9120549489039,0.8071178348152093,3.1496233699557754,conductor_cond_1-100
18,475,0.000880432247457487,0.06846697031740756,1.7197136055179576,0.8264386065164587,3.1633241762659408,conductor_cond_1-100
19,350,0.011530228047754523,0.07932265666187575,1.8400587586599733,0.8672748198327564,3.1438385680087544,conductor_cond_1-100
20,386,0.0024812311273114595,0.07506411823984654,1.8054062892804317,0.8941040209741464,3.1514621911294776,conductor_cond_1-100
21,306,0.31848027678070945,0.16166548075646672,8.87497131451148,0.9730809127260496,2.4450539401237132,conductor_cond_1-100
