label,dim,level,analytic_conductor,mean_corr,rank_ratio,top1_frac,spectral_entropy,cond_number
90.2.a.c,1,90,0.7186536181915234,-0.004784028613502985,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
91.2.a.a,1,91,0.7266386583936515,-0.009168886952691562,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
91.2.a.b,1,91,0.7266386583936515,-0.007698527643747518,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
91.2.a.c,2,91,0.7266386583936515,-0.005102674042776611,0.9999999999999999,0.9999999999999996,4.440892098500625e-16,inf
91.2.a.d,3,91,0.7266386583936515,-0.001971900294256064,0.9999999999999997,0.9999999999999996,4.440892098500625e-16,inf
92.2.a.a,1,92,0.7346236985957796,-0.017287267212832285,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
92.2.a.b,1,92,0.7346236985957796,-0.0038965927308789094,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
93.2.a.a,2,93,0.7426087387979076,0.0005930849198119567,0.9999999999999997,0.9999999999999996,4.440892098500625e-16,inf
93.2.a.b,3,93,0.7426087387979076,-0.0009196968508575082,0.9999999999999998,0.9999999999999994,5.551115123125782e-16,inf
94.2.a.a,1,94,0.7505937790000357,0.0004110472623259277,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
94.2.a.b,2,94,0.7505937790000357,-0.013375530576463195,0.9999999999999998,0.9999999999999996,4.440892098500625e-16,inf
95.2.a.a,3,95,0.7585788192021636,-0.002201843132120567,1.0,0.9999999999999997,3.330669073875469e-16,inf
95.2.a.b,4,95,0.7585788192021636,-0.0016814395310187902,0.9999999999999999,0.9999999999999996,4.440892098500625e-16,inf
96.2.a.a,1,96,0.7665638594042917,-0.006496051843362144,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
96.2.a.b,1,96,0.7665638594042917,-0.005561907672663264,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
97.2.a.a,3,97,0.7745488996064197,-0.005942241792709218,0.9999999999999999,0.9999999999999997,3.330669073875469e-16,inf
97.2.a.b,4,97,0.7745488996064197,0.004349282342623028,0.9999999999999998,0.9999999999999996,4.440892098500625e-16,inf
98.2.a.a,1,98,0.7825339398085478,-0.004648853805895909,0.9999999999999999,0.9999999999999999,1.1102230246251564e-16,inf
98.2.a.b,2,98,0.7825339398085478,-0.0023885253664240706,0.9999999999999999,0.9999999999999998,2.220446049250313e-16,inf
99.2.a.a,1,99,0.7905189800106758,-0.001733957030826146,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
99.2.a.b,1,99,0.7905189800106758,-0.00567981257279137,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
99.2.a.c,1,99,0.7905189800106758,-0.006202970136352031,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
99.2.a.d,1,99,0.7905189800106758,-0.00403414285178651,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
100.2.a.a,1,100,0.7985040202128039,0.009517169191020995,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
101.2.a.a,1,101,0.8064890604149318,0.006947233529274405,0.9999999999999994,0.9999999999999994,5.551115123125782e-16,inf
101.2.a.b,7,101,0.8064890604149318,-0.007908390016146247,0.9999999999999998,0.9999999999999994,5.551115123125782e-16,inf
102.2.a.a,1,102,0.8144741006170599,-0.008360226753637442,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
102.2.a.b,1,102,0.8144741006170599,-0.0040868074648136325,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
102.2.a.c,1,102,0.8144741006170599,-0.0062071716158140005,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
103.2.a.a,2,103,0.8224591408191879,-0.004861175866278131,0.9999999999999999,0.9999999999999997,3.330669073875469e-16,inf
103.2.a.b,6,103,0.8224591408191879,-0.006648724932449026,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
104.2.a.a,1,104,0.830444181021316,-0.006220542777287463,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
104.2.a.b,2,104,0.830444181021316,0.007582090519872977,1.0,0.9999999999999998,2.220446049250313e-16,inf
105.2.a.a,1,105,0.838429221223444,-0.004327968707235672,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
105.2.a.b,2,105,0.838429221223444,-0.0023097781706132407,1.0,0.9999999999999998,2.220446049250313e-16,inf
106.2.a.a,1,106,0.8464142614255721,-0.009589047323656284,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
106.2.a.b,1,106,0.8464142614255721,-0.007020948705876561,0.9999999999999994,0.9999999999999994,5.551115123125782e-16,inf
106.2.a.c,1,106,0.8464142614255721,-0.01084022779540735,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
106.2.a.d,1,106,0.8464142614255721,-0.004340353793819672,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
107.2.a.a,2,107,0.8543993016277001,-0.006397971781570147,0.9999999999999998,0.9999999999999997,3.330669073875469e-16,inf
107.2.a.b,7,107,0.8543993016277001,-0.007779692066571056,0.9999999999999998,0.9999999999999997,3.330669073875469e-16,inf
109.2.a.a,1,109,0.8703693820319562,-0.0015104936751923349,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
109.2.a.b,3,109,0.8703693820319562,-0.0030320930000793922,0.9999999999999999,0.9999999999999997,3.330669073875469e-16,inf
109.2.a.c,4,109,0.8703693820319562,-0.0051735466450172855,0.9999999999999998,0.9999999999999996,4.440892098500625e-16,inf
110.2.a.a,1,110,0.8783544222340842,-0.0054618980121506145,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
110.2.a.b,1,110,0.8783544222340842,-0.007539883446649755,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
110.2.a.c,1,110,0.8783544222340842,-0.001974850609710149,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
110.2.a.d,2,110,0.8783544222340842,-0.0035178344485308774,1.0,0.9999999999999999,1.1102230246251564e-16,inf
111.2.a.a,3,111,0.8863394624362123,-0.0039410075574130374,1.0,0.9999999999999997,3.330669073875469e-16,inf
111.2.a.b,4,111,0.8863394624362123,-0.0033986790133731493,1.0,0.9999999999999998,2.220446049250313e-16,inf
112.2.a.a,1,112,0.8943245026383403,-0.011204584647156705,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
112.2.a.b,1,112,0.8943245026383403,-0.0040456617307258825,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
112.2.a.c,1,112,0.8943245026383403,0.009112685956752816,0.9999999999999999,0.9999999999999999,1.1102230246251564e-16,inf
